"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEPT9",7.89036380255765e-08,1.36282553442472,0.562,0.18,0.00206262000162659,"10","SEPT9"
"SYK2",9.00830780630677e-08,1.81398556767924,0.531,0.177,0.00235486174364665,"10","SYK"
"CAT1",9.37141693549298e-08,2.13516940001836,0.344,0.083,0.00244978210110722,"10","CAT"
"OPA1",9.40998098947057e-08,1.72051452193026,0.281,0.057,0.0024598631304575,"10","OPA1"
"TMED92",1.47325189370154e-07,1.99000986299541,0.406,0.112,0.00385122777532519,"10","TMED9"
"NPC21",1.60604484695626e-07,1.69528876888779,0.406,0.11,0.00419836183442837,"10","NPC2"
"NAP1L13",1.69487820756965e-07,0.964984202954025,0.562,0.177,0.00443058112240782,"10","NAP1L1"
"CBX6",1.71266440386218e-07,1.16159938359289,0.25,0.047,0.00447707601813613,"10","CBX6"
"CD1641",1.77645351329152e-07,1.41965554876241,0.594,0.217,0.00464382712909537,"10","CD164"
"RNF11",1.94624728414595e-07,2.30178638493421,0.281,0.061,0.00508768502548592,"10","RNF11"
"ATP8A1",2.59839970063615e-07,1.34513279370989,0.25,0.048,0.00679247665743295,"10","ATP8A1"
"CYTH41",3.10267146305859e-07,1.69300540898792,0.406,0.115,0.00811069347158146,"10","CYTH4"
"SLC38A13",3.24965370524085e-07,1.19059154164794,0.562,0.183,0.00849491975087009,"10","SLC38A1"
"ANTXR2",3.97055804400844e-07,1.33813709559804,0.25,0.049,0.0103794357828425,"10","ANTXR2"
"MT-ND32",4.0761554521182e-07,1.42688674462321,0.562,0.2,0.0106554779673822,"10","MT-ND3"
"CD2AP",4.3245718626817e-07,1.49718967217647,0.312,0.074,0.0113048633062362,"10","CD2AP"
"MDFIC",4.41513806942108e-07,1.45186810889366,0.312,0.073,0.0115416124272736,"10","MDFIC"
"MICAL11",4.51598297509602e-07,1.58817589693116,0.344,0.086,0.0118052310951985,"10","MICAL1"
"VPS13C2",5.93807336293171e-07,1.43087231268868,0.625,0.255,0.0155227175780398,"10","VPS13C"
"ZFC3H1",6.02946888929632e-07,0.90191083208262,0.344,0.084,0.0157616346235095,"10","ZFC3H1"
"NOP58",6.16673567843151e-07,1.46309723687469,0.344,0.087,0.0161204637369878,"10","NOP58"
"ZBTB10",7.53884831077685e-07,2.08282869170017,0.25,0.053,0.0197073033692018,"10","ZBTB10"
"PDS5A",7.64486924983959e-07,1.17661276795911,0.438,0.128,0.0199844527060057,"10","PDS5A"
"UNC93B11",7.79170260919082e-07,1.69953036773791,0.312,0.078,0.0203682897906857,"10","UNC93B1"
"SLC20A1",8.01516283027445e-07,1.45923353723992,0.344,0.089,0.0209524371546204,"10","SLC20A1"
"SYNGR21",8.77021904664093e-07,1.39972958209653,0.406,0.118,0.0229262296098241,"10","SYNGR2"
"CNPY31",9.0025794830134e-07,2.10933424089792,0.438,0.143,0.0235336430265453,"10","CNPY3"
"DBNL1",9.24503595626205e-07,2.21759913115299,0.438,0.144,0.0241674484932646,"10","DBNL"
"EIF3M",1.00553729873798e-06,1.49136915002685,0.312,0.076,0.0262857505263095,"10","EIF3M"
"CD41",1.04489503472817e-06,1.82769864217911,0.344,0.093,0.0273146011028291,"10","CD4"
"MXD4",1.05130699486158e-06,2.16177823445003,0.281,0.067,0.0274822161526765,"10","MXD4"
"SRP14",1.0554215484326e-06,1.5664298849622,0.531,0.196,0.0275897746975766,"10","SRP14"
"TRAPPC8",1.20295759624545e-06,1.47509141739199,0.281,0.065,0.0314465145234523,"10","TRAPPC8"
"UCP2",1.31446464504383e-06,1.46768011250378,0.406,0.122,0.0343614202860908,"10","UCP2"
"RPL310",1.52912214644517e-06,1.00267899284606,0.875,0.546,0.0399727820302232,"10","RPL3"
"MYO9A",1.67515869185471e-06,0.907825118078121,0.25,0.052,0.0437903233637739,"10","MYO9A"
"KTN12",1.70861282162188e-06,1.39740496973473,0.531,0.194,0.0446648477700176,"10","KTN1"
"KIAA01001",1.74955167691413e-06,2.3374239947292,0.344,0.1,0.0457350303862122,"10","KIAA0100"
"RPSAP582",1.78923036033392e-06,1.439328355873,0.562,0.212,0.0467722708494889,"10","RPSAP58"
"CCDC109B",2.55578591648215e-06,1.95219182766107,0.312,0.081,0.0668107996427598,"10","CCDC109B"
"RPS24",2.62961664537246e-06,0.970089873299153,0.75,0.317,0.0687408087266815,"10","RPS24"
"RPL10A2",3.36759662216168e-06,1.01131781318888,0.719,0.33,0.0880323432999285,"10","RPL10A"
"USP24",3.52170632067464e-06,1.74574258696979,0.344,0.096,0.0920609249287558,"10","USP24"
"SLC25A28",3.59489417327356e-06,1.84188259012537,0.25,0.057,0.093974128583544,"10","SLC25A28"
"CHD9",3.90975690341347e-06,1.39260650107995,0.344,0.097,0.102204955212132,"10","CHD9"
"PLXNB21",4.49776126085488e-06,1.76748497541981,0.281,0.072,0.117575977120007,"10","PLXNB2"
"UBB",4.80179650949185e-06,1.32185606231367,0.375,0.111,0.125523762554627,"10","UBB"
"TMEM170B1",6.0678477478536e-06,2.21952117196458,0.25,0.061,0.158619607976641,"10","TMEM170B"
"PFKP",6.41898680677534e-06,1.60295269651381,0.281,0.072,0.167798734115914,"10","PFKP"
"OTUD4",6.47986481705763e-06,1.33623702591143,0.281,0.07,0.169390146182704,"10","OTUD4"
"PHYKPL",6.95810800953424e-06,1.92243112244472,0.25,0.06,0.181891901477235,"10","PHYKPL"
"EDEM11",7.18556380325047e-06,1.22067402338047,0.312,0.085,0.187837823380771,"10","EDEM1"
"PEBP11",7.75905888742821e-06,0.787769954148853,0.312,0.082,0.202829558376261,"10","PEBP1"
"RBM252",8.00969400120655e-06,1.28369746453097,0.5,0.187,0.20938141088554,"10","RBM25"
"SSRP11",8.55456551468831e-06,2.2365531704117,0.312,0.092,0.223624897119467,"10","SSRP1"
"FBXW5",8.57834825710732e-06,1.20411485344878,0.375,0.116,0.224246601789043,"10","FBXW5"
"SCARB21",9.06372188391675e-06,1.62339030441129,0.344,0.104,0.236934753767468,"10","SCARB2"
"RPS3A2",9.08908458698345e-06,1.250597206268,0.656,0.286,0.237597760188335,"10","RPS3A"
"RRAGC",9.18382015278639e-06,1.57548392515425,0.25,0.059,0.240074242613989,"10","RRAGC"
"RBM6",9.40406779210843e-06,0.777275737445729,0.406,0.125,0.245831736153506,"10","RBM6"
"PTPRE2",9.81419425664159e-06,1.31356190432898,0.438,0.153,0.256552852062868,"10","PTPRE"
"PAG11",9.94517546855035e-06,1.1755505335762,0.406,0.132,0.259976831923375,"10","PAG1"
"OFD1",1.02376628093469e-05,1.31310817229019,0.281,0.072,0.267622743499137,"10","OFD1"
"KRI1",1.09088996636019e-05,1.2832443782555,0.25,0.06,0.285169546106218,"10","KRI1"
"CPSF6",1.11956455289901e-05,1.73052439677556,0.25,0.061,0.292665369773331,"10","CPSF6"
"CBX4",1.18462021452261e-05,1.4817352331979,0.281,0.074,0.309671570278355,"10","CBX4"
"RPS6KA3",1.18476672848803e-05,1.28625532954017,0.344,0.101,0.309709870494056,"10","RPS6KA3"
"HLA-DMA",1.3045225569346e-05,1.77755594854169,0.25,0.063,0.341015241608273,"10","HLA-DMA"
"RPL52",1.31119155519003e-05,1.24601780578986,0.656,0.315,0.342758584442225,"10","RPL5"
"MYO9B2",1.44574982648117e-05,1.02289107039416,0.562,0.224,0.377933462140443,"10","MYO9B"
"NRIP11",1.48153737060517e-05,1.40735400024739,0.312,0.089,0.387288684049899,"10","NRIP1"
"TNPO1",1.4836778486078e-05,2.34958231214322,0.25,0.064,0.387848226404564,"10","TNPO1"
"YPEL51",1.49162600722611e-05,0.928963953555099,0.438,0.149,0.389925954548977,"10","YPEL5"
"ADPGK1",1.52269132062655e-05,1.94523457532171,0.312,0.091,0.398046738124985,"10","ADPGK"
"STX7",1.62329751546877e-05,1.34963523322888,0.281,0.074,0.424346203518691,"10","STX7"
"LDHB2",1.63070273932357e-05,0.774824131507457,0.438,0.145,0.426282003086576,"10","LDHB"
"TFRC",1.69385136869794e-05,1.56342134307138,0.25,0.063,0.44278968629133,"10","TFRC"
"VPS36",1.81806723758786e-05,1.69414796989644,0.25,0.063,0.475260956577842,"10","VPS36"
"TMED101",1.92641330614953e-05,1.05039389259737,0.375,0.121,0.503583702360548,"10","TMED10"
"TMX1",1.94931538695042e-05,1.98997689043261,0.281,0.079,0.50957053530271,"10","TMX1"
"HYOU11",1.98201007378092e-05,1.3338800014403,0.281,0.075,0.518117253387071,"10","HYOU1"
